date,demand,sales,transactions,year,month,quarter,day_of_week,day,week_of_year,is_weekend,lag_1,lag_7,lag_14,lag_30,rolling_7,rolling_14,rolling_30
2022-01-31,9661,5964140.87,2612,2022,1,1,0,31,5,0,9896.0,9597.0,9852.0,9529.0,9594.0,9701.0,9656.3
2022-02-01,10078,6384592.36,2770,2022,2,1,1,1,5,0,9661.0,9840.0,9824.0,9637.0,9603.142857142857,9687.357142857143,9660.7
2022-02-02,10319,6120254.01,2832,2022,2,1,2,2,5,0,10078.0,9611.0,9737.0,9679.0,9637.142857142857,9705.5,9675.4
2022-02-03,10211,6215417.17,2815,2022,2,1,3,3,5,0,10319.0,9427.0,9621.0,9749.0,9738.285714285714,9747.07142857143,9696.733333333334
2022-02-04,10122,5807356.47,2777,2022,2,1,4,4,5,0,10211.0,9163.0,9825.0,9320.0,9850.285714285714,9789.214285714286,9712.133333333333
2022-02-05,10260,6074064.45,2808,2022,2,1,5,5,5,1,10122.0,9624.0,10153.0,9464.0,9987.285714285714,9810.42857142857,9738.866666666667
2022-02-06,9805,5805366.23,2714,2022,2,1,6,6,5,1,10260.0,9896.0,9644.0,9563.0,10078.142857142857,9818.07142857143,9765.4
2022-02-07,9577,5415173.18,2663,2022,2,1,0,7,6,0,9805.0,9661.0,9597.0,9640.0,10065.142857142857,9829.57142857143,9773.466666666667
2022-02-08,9922,5884836.01,2789,2022,2,1,1,8,6,0,9577.0,10078.0,9840.0,9249.0,10053.142857142857,9828.142857142857,9771.366666666667
2022-02-09,10171,5920920.88,2781,2022,2,1,2,9,6,0,9922.0,10319.0,9611.0,9605.0,10030.857142857143,9834.0,9793.8
2022-02-10,9448,5640150.57,2669,2022,2,1,3,10,6,0,10171.0,10211.0,9427.0,9983.0,10009.714285714286,9874.0,9812.666666666666
2022-02-11,9638,5725766.71,2714,2022,2,1,4,11,6,0,9448.0,10122.0,9163.0,9838.0,9900.714285714286,9875.5,9794.833333333334
2022-02-12,9974,6095391.92,2790,2022,2,1,5,12,6,1,9638.0,10260.0,9624.0,9447.0,9831.57142857143,9909.42857142857,9788.166666666666
2022-02-13,10240,6170786.15,2855,2022,2,1,6,13,6,1,9974.0,9805.0,9896.0,9639.0,9790.714285714286,9934.42857142857,9805.733333333334
2022-02-14,10016,6137289.29,2718,2022,2,1,0,14,7,0,10240.0,9577.0,9661.0,9570.0,9852.857142857143,9959.0,9825.766666666666
2022-02-15,9616,5996364.83,2671,2022,2,1,1,15,7,0,10016.0,9922.0,10078.0,9963.0,9915.57142857143,9984.357142857143,9840.633333333333
2022-02-16,10373,6497608.12,2815,2022,2,1,2,16,7,0,9616.0,10171.0,10319.0,9852.0,9871.857142857143,9951.357142857143,9829.066666666668
2022-02-17,10451,6426806.92,2814,2022,2,1,3,17,7,0,10373.0,9448.0,10211.0,9824.0,9900.714285714286,9955.214285714286,9846.433333333332
2022-02-18,10061,6345341.72,2763,2022,2,1,4,18,7,0,10451.0,9638.0,10122.0,9737.0,10044.0,9972.357142857143,9867.333333333334
