date,actual_demand,predicted_demand,error,absolute_error
2025-03-26,12497,12837.0,-340.0,340.0
2025-03-27,12714,12497.0,217.0,217.0
2025-03-28,12272,12714.0,-442.0,442.0
2025-03-29,12648,12272.0,376.0,376.0
2025-03-30,12536,12648.0,-112.0,112.0
2025-03-31,13434,12536.0,898.0,898.0
2025-04-01,13542,13434.0,108.0,108.0
2025-04-02,13111,13542.0,-431.0,431.0
2025-04-03,12588,13111.0,-523.0,523.0
2025-04-04,12736,12588.0,148.0,148.0
2025-04-05,12772,12736.0,36.0,36.0
2025-04-06,13605,12772.0,833.0,833.0
2025-04-07,12938,13605.0,-667.0,667.0
2025-04-08,12846,12938.0,-92.0,92.0
2025-04-09,13039,12846.0,193.0,193.0
2025-04-10,13045,13039.0,6.0,6.0
2025-04-11,13664,13045.0,619.0,619.0
2025-04-12,13559,13664.0,-105.0,105.0
2025-04-13,12762,13559.0,-797.0,797.0
2025-04-14,13343,12762.0,581.0,581.0
2025-04-15,12810,13343.0,-533.0,533.0
2025-04-16,12664,12810.0,-146.0,146.0
2025-04-17,12922,12664.0,258.0,258.0
2025-04-18,13644,12922.0,722.0,722.0
2025-04-19,13484,13644.0,-160.0,160.0
2025-04-20,13637,13484.0,153.0,153.0
2025-04-21,13173,13637.0,-464.0,464.0
2025-04-22,13341,13173.0,168.0,168.0
2025-04-23,12903,13341.0,-438.0,438.0
2025-04-24,13129,12903.0,226.0,226.0
2025-04-25,12732,13129.0,-397.0,397.0
2025-04-26,13444,12732.0,712.0,712.0
2025-04-27,12903,13444.0,-541.0,541.0
2025-04-28,13137,12903.0,234.0,234.0
2025-04-29,13123,13137.0,-14.0,14.0
2025-04-30,13130,13123.0,7.0,7.0
2025-05-01,13396,13130.0,266.0,266.0
2025-05-02,13248,13396.0,-148.0,148.0
2025-05-03,13517,13248.0,269.0,269.0
2025-05-04,12705,13517.0,-812.0,812.0
2025-05-05,13559,12705.0,854.0,854.0
2025-05-06,14242,13559.0,683.0,683.0
2025-05-07,13043,14242.0,-1199.0,1199.0
2025-05-08,13140,13043.0,97.0,97.0
2025-05-09,12792,13140.0,-348.0,348.0
2025-05-10,12881,12792.0,89.0,89.0
2025-05-11,13398,12881.0,517.0,517.0
2025-05-12,13680,13398.0,282.0,282.0
2025-05-13,13420,13680.0,-260.0,260.0
2025-05-14,13439,13420.0,19.0,19.0
2025-05-15,12957,13439.0,-482.0,482.0
2025-05-16,12700,12957.0,-257.0,257.0
2025-05-17,13575,12700.0,875.0,875.0
2025-05-18,13149,13575.0,-426.0,426.0
2025-05-19,13291,13149.0,142.0,142.0
2025-05-20,13475,13291.0,184.0,184.0
2025-05-21,13283,13475.0,-192.0,192.0
2025-05-22,13248,13283.0,-35.0,35.0
2025-05-23,13094,13248.0,-154.0,154.0
2025-05-24,13459,13094.0,365.0,365.0
2025-05-25,13092,13459.0,-367.0,367.0
2025-05-26,13459,13092.0,367.0,367.0
2025-05-27,13167,13459.0,-292.0,292.0
2025-05-28,13199,13167.0,32.0,32.0
2025-05-29,13230,13199.0,31.0,31.0
2025-05-30,13742,13230.0,512.0,512.0
2025-05-31,13710,13742.0,-32.0,32.0
2025-06-01,13767,13710.0,57.0,57.0
2025-06-02,13806,13767.0,39.0,39.0
2025-06-03,14192,13806.0,386.0,386.0
2025-06-04,13937,14192.0,-255.0,255.0
2025-06-05,14079,13937.0,142.0,142.0
2025-06-06,13769,14079.0,-310.0,310.0
2025-06-07,13574,13769.0,-195.0,195.0
2025-06-08,13951,13574.0,377.0,377.0
2025-06-09,13786,13951.0,-165.0,165.0
2025-06-10,13625,13786.0,-161.0,161.0
2025-06-11,13565,13625.0,-60.0,60.0
2025-06-12,13760,13565.0,195.0,195.0
2025-06-13,14012,13760.0,252.0,252.0
2025-06-14,13864,14012.0,-148.0,148.0
2025-06-15,13732,13864.0,-132.0,132.0
2025-06-16,13774,13732.0,42.0,42.0
2025-06-17,13577,13774.0,-197.0,197.0
2025-06-18,13439,13577.0,-138.0,138.0
2025-06-19,13782,13439.0,343.0,343.0
2025-06-20,13914,13782.0,132.0,132.0
2025-06-21,13879,13914.0,-35.0,35.0
2025-06-22,13458,13879.0,-421.0,421.0
2025-06-23,13645,13458.0,187.0,187.0
2025-06-24,14084,13645.0,439.0,439.0
2025-06-25,14063,14084.0,-21.0,21.0
2025-06-26,13432,14063.0,-631.0,631.0
2025-06-27,13616,13432.0,184.0,184.0
2025-06-28,13781,13616.0,165.0,165.0
2025-06-29,13958,13781.0,177.0,177.0
2025-06-30,13598,13958.0,-360.0,360.0
2025-07-01,12980,13598.0,-618.0,618.0
2025-07-02,12651,12980.0,-329.0,329.0
2025-07-03,12902,12651.0,251.0,251.0
2025-07-04,12991,12902.0,89.0,89.0
2025-07-05,12217,12991.0,-774.0,774.0
2025-07-06,12428,12217.0,211.0,211.0
2025-07-07,12578,12428.0,150.0,150.0
2025-07-08,12808,12578.0,230.0,230.0
2025-07-09,12578,12808.0,-230.0,230.0
2025-07-10,12611,12578.0,33.0,33.0
2025-07-11,12885,12611.0,274.0,274.0
2025-07-12,13293,12885.0,408.0,408.0
2025-07-13,12335,13293.0,-958.0,958.0
2025-07-14,12515,12335.0,180.0,180.0
2025-07-15,13068,12515.0,553.0,553.0
2025-07-16,12608,13068.0,-460.0,460.0
2025-07-17,12938,12608.0,330.0,330.0
2025-07-18,12915,12938.0,-23.0,23.0
2025-07-19,12901,12915.0,-14.0,14.0
2025-07-20,12556,12901.0,-345.0,345.0
2025-07-21,12282,12556.0,-274.0,274.0
2025-07-22,12812,12282.0,530.0,530.0
2025-07-23,12342,12812.0,-470.0,470.0
2025-07-24,12624,12342.0,282.0,282.0
2025-07-25,12137,12624.0,-487.0,487.0
2025-07-26,12780,12137.0,643.0,643.0
2025-07-27,12467,12780.0,-313.0,313.0
2025-07-28,13136,12467.0,669.0,669.0
2025-07-29,12495,13136.0,-641.0,641.0
2025-07-30,13127,12495.0,632.0,632.0
2025-07-31,12277,13127.0,-850.0,850.0
2025-08-01,13752,12277.0,1475.0,1475.0
2025-08-02,14145,13752.0,393.0,393.0
2025-08-03,13669,14145.0,-476.0,476.0
2025-08-04,13752,13669.0,83.0,83.0
2025-08-05,14015,13752.0,263.0,263.0
2025-08-06,13634,14015.0,-381.0,381.0
2025-08-07,14007,13634.0,373.0,373.0
2025-08-08,13975,14007.0,-32.0,32.0
2025-08-09,13695,13975.0,-280.0,280.0
2025-08-10,14362,13695.0,667.0,667.0
2025-08-11,14117,14362.0,-245.0,245.0
2025-08-12,13791,14117.0,-326.0,326.0
2025-08-13,13741,13791.0,-50.0,50.0
2025-08-14,13967,13741.0,226.0,226.0
2025-08-15,14033,13967.0,66.0,66.0
2025-08-16,13754,14033.0,-279.0,279.0
2025-08-17,13257,13754.0,-497.0,497.0
2025-08-18,13942,13257.0,685.0,685.0
2025-08-19,14003,13942.0,61.0,61.0
2025-08-20,14460,14003.0,457.0,457.0
2025-08-21,13776,14460.0,-684.0,684.0
2025-08-22,14000,13776.0,224.0,224.0
2025-08-23,13864,14000.0,-136.0,136.0
2025-08-24,14116,13864.0,252.0,252.0
