store_id,sku_id,stock_on_hand,reorder_point,safety_stock,last_restock_date,risk_level,risk_score,stock_coverage_days,avg_daily_demand,final_risk_level
ST11,SKU02558,323,72,22,2025-05-17,Low Risk,20,9831.3125,0.03285420944558522,Low Risk
ST21,SKU01031,236,67,14,2025-06-17,Low Risk,20,4364.506329113924,0.054072553045859,Low Risk
ST26,SKU02129,433,96,34,2025-05-20,Low Risk,20,48662.53846153846,0.00889801505817933,Low Risk
ST19,SKU02907,178,34,13,2025-08-03,Low Risk,20,7648.764705882353,0.02327173169062286,Low Risk
ST05,SKU01023,333,97,22,2025-07-12,Low Risk,20,11583.642857142857,0.028747433264887063,Low Risk
ST08,SKU04475,470,90,29,2025-06-09,Low Risk,20,12261.964285714286,0.038329911019849415,Low Risk
ST01,SKU01318,125,24,9,2025-07-25,Low Risk,20,4805.921052631578,0.026009582477754964,Low Risk
ST13,SKU00389,212,49,15,2025-08-16,Low Risk,20,7374.571428571428,0.028747433264887063,Low Risk
ST25,SKU01675,259,77,32,2025-06-11,Low Risk,20,14014.777777777777,0.018480492813141684,Low Risk
ST06,SKU01396,204,57,12,2025-05-06,Low Risk,20,6479.217391304348,0.03148528405201916,Low Risk
ST07,SKU04250,348,79,27,2025-05-10,Low Risk,20,7821.969230769231,0.044490075290896644,Low Risk
ST22,SKU03592,444,79,38,2025-09-01,Low Risk,20,9979.753846153846,0.044490075290896644,Low Risk
ST01,SKU00500,0,54,24,2025-08-25,High Risk,100,0.0,0.3874058863791923,Critical
ST20,SKU02728,245,41,18,2025-06-16,Low Risk,20,4589.038461538462,0.053388090349075976,Low Risk
ST08,SKU03428,72,21,5,2025-08-29,Low Risk,20,2238.127659574468,0.03216974674880219,Low Risk
ST11,SKU04894,488,93,22,2025-05-26,Low Risk,20,12508.210526315788,0.039014373716632446,Low Risk
ST16,SKU01037,0,92,38,2025-09-03,High Risk,100,0.0,0.4517453798767967,Critical
ST21,SKU01152,0,76,32,2025-10-02,High Risk,100,0.0,0.6447638603696099,Critical
ST28,SKU02094,291,62,16,2025-06-01,Low Risk,20,5988.042253521126,0.0485968514715948,Low Risk
ST26,SKU04236,377,85,24,2025-06-16,Low Risk,20,13114.214285714286,0.028747433264887063,Low Risk
ST19,SKU01042,131,29,12,2025-05-06,Low Risk,20,8321.347826086958,0.01574264202600958,Low Risk
ST15,SKU01337,226,60,19,2025-08-15,Low Risk,20,10651.16129032258,0.021218343600273786,Low Risk
ST08,SKU02381,0,36,15,2025-09-05,High Risk,100,0.0,0.30321697467488024,Critical
ST09,SKU01034,297,50,17,2025-07-31,Low Risk,20,8187.11320754717,0.03627652292950034,Low Risk
ST07,SKU00170,311,70,33,2025-08-12,Low Risk,20,6681.926470588235,0.04654346338124572,Low Risk
ST19,SKU01981,179,30,13,2025-05-19,Low Risk,20,6537.975,0.02737850787132101,Low Risk
ST15,SKU04491,91,25,10,2025-08-24,Low Risk,20,4431.7,0.02053388090349076,Low Risk
ST25,SKU00978,129,22,5,2025-05-31,Low Risk,20,4711.725,0.02737850787132101,Low Risk
ST27,SKU03562,393,79,38,2025-06-09,Low Risk,20,17399.181818181816,0.022587268993839837,Low Risk
